Country,CountryCode,2014,2015,2016,2017,2018
Afghanistan,AFG,1.298012999,0.993454695,0.955493294,0.943963492,0.984560504
Angola,AGO,4.698454516,3.10542626,2.733340725,2.421112838,1.777137554
Albania,ALB,1.346515991,1.162303864,1.101507597,1.107550573,1.178900558
Arab World,ARB,6.344161626,7.366668134,6.094356328,6.386838844,5.638101777
United Arab Emirates,ARE,5.643651352,,,,
Argentina,ARG,0.878100919,0.850128583,0.813140078,0.856137916,0.854560979
Armenia,ARM,3.943378265,4.239225803,4.083057446,3.839825869,4.778337587
Australia,AUS,1.781294955,1.958451254,2.092849524,2.007966393,1.891559767
Austria,AUT,0.747780095,0.698138152,0.732544817,0.756179042,0.735992539
Azerbaijan,AZE,4.55781667,5.467682021,3.715428329,3.847314958,3.773694092
Burundi,BDI,2.119090371,2.201862734,2.115625208,1.870652196,1.882161471
Belgium,BEL,0.978038255,0.921874932,0.918616598,0.910370733,0.925790635
Benin,BEN,0.957933118,1.096302663,0.928169433,1.264102966,0.863004045
Burkina Faso,BFA,1.439243691,1.326932808,1.23336594,1.427258411,2.059185676
Bangladesh,BGD,1.279412463,1.350969906,1.379672324,1.37505781,1.364917496
Bulgaria,BGR,1.47093871,1.316396006,1.419313685,1.421706257,1.688432324
Bahrain,BHR,4.41859298,4.632877365,4.725706167,4.389060137,3.595485391
Bosnia and Herzegovina,BIH,1.025826873,1.000727257,0.934024675,0.906093302,1.111913106
Belarus,BLR,1.282562997,1.281840102,1.264152334,1.162416943,1.265447172
Belize,BLZ,1.167118371,1.13153855,1.247544457,1.323024681,1.262456192
Bolivia,BOL,1.89684061,1.743970952,1.634420874,1.542397438,1.496550175
Brazil,BRA,1.330244423,1.365517154,1.350150573,1.419526638,1.474901547
Brunei Darussalam,BRN,3.086860958,3.279290461,3.539384699,2.865123829,2.370098967
Botswana,BWA,2.130859048,2.662869697,3.304741643,3.021655905,2.782321954
Central African Republic,CAF,2.25538964,1.686089014,1.528332632,1.435513055,1.408609672
Canada,CAN,0.99227056,1.150126497,1.15845888,1.293395107,1.252629232
Central Europe and the Baltics,CEB,1.415316157,1.532157917,1.482308337,1.524247726,1.643886532
Switzerland,CHE,0.65043569,0.665028267,0.682321328,0.681602395,0.675557386
Chile,CHL,1.958207639,1.897861711,1.918483301,1.935612733,1.887383946
China,CHN,1.905848105,1.907086486,1.924947124,1.896510407,1.865936601
Cote d'Ivoire,CIV,1.475969049,1.740118723,1.690104084,1.277400943,1.35765672
Cameroon,CMR,1.252831445,1.245103437,1.321468676,1.306175769,1.250329086
"Congo, Dem. Rep.",COD,0.950246295,1.278151407,0.948690513,0.737512018,0.668776975
"Congo, Rep.",COG,5.007370687,,6.38322968,4.268296831,2.54695464
Colombia,COL,3.132227748,3.130892568,3.075071956,3.186272628,3.172560216
Cabo Verde,CPV,0.540807447,0.558982326,0.620817347,0.537769951,0.553854418
Costa Rica,CRI,0,0,0,0,0
Caribbean small states,CSS,,,,,1.074940921
Cuba,CUB,3.536004761,3.083791445,3.07212433,2.872403239,
Cyprus,CYP,1.531461398,1.666063715,1.444332986,1.62751716,1.572161935
Czech Republic,CZE,0.973390214,0.952677705,1.002162337,0.96908579,1.123605709
Germany,DEU,1.182505896,1.177456492,1.189904265,1.234141102,1.233768757
Denmark,DNK,1.149273281,1.111446132,1.151786292,1.146016169,1.181415207
Dominican Republic,DOM,0.662335562,0.665687802,0.663297901,0.700998298,0.743856125
Algeria,DZA,5.548483336,6.270242931,6.381112805,6.014253329,5.271414046
East Asia & Pacific (excluding high income),EAP,1.789843003,1.813037642,1.821249639,1.78054886,1.749066479
Early-demographic dividend,EAR,2.544848852,2.672539327,2.434927496,2.432798998,2.347519875
East Asia & Pacific,EAS,1.676249423,1.715277537,1.704559714,1.68528428,1.667271147
Europe & Central Asia (excluding high income),ECA,3.047725507,3.264180611,3.530685121,3.066480674,3.09753686
Europe & Central Asia,ECS,1.730614149,1.718279725,1.744428066,1.702899037,1.703680127
Ecuador,ECU,2.739230809,2.616074159,2.5147668,2.361263384,2.376711515
"Egypt, Arab Rep.",EGY,1.689694836,1.723147428,1.667282059,1.422609271,1.24706924
Euro area,EMU,1.419763216,1.404581581,1.427504637,1.454208695,1.447997398
Spain,ESP,1.247615193,1.266621653,1.132741836,1.22599306,1.273090961
Estonia,EST,1.924113396,2.024016182,2.075392382,2.028362263,2.058544681
Ethiopia,ETH,0.768411101,0.705413868,0.701484929,0.676662211,0.641920293
European Union,EUU,1.496735957,1.482670072,1.478553847,1.490685013,1.497798447
Fragile and conflict affected situations,FCS,3.602356244,3.4956676,2.916039687,3.016810129,2.36020244
Finland,FIN,1.461985458,1.462281254,1.428895336,1.365689345,1.398520425
Fiji,FJI,1.027698998,0.972394348,0.913179008,0.917588308,0.922839462
France,FRA,2.230360063,2.26989054,2.327323645,2.349678514,2.293942799
Gabon,GAB,1.144818396,1.185025608,1.447542623,1.810489469,1.53120763
United Kingdom,GBR,1.948806997,1.859612024,1.810780168,1.771093843,1.782205381
Georgia,GEO,2.517582317,2.140412871,2.199119141,2.032071264,1.935046518
Ghana,GHA,0.678998541,0.526514224,0.382466724,0.401718843,0.413916817
Guinea,GIN,2.973182386,3.305083056,2.487014657,2.708320106,2.467401386
"Gambia, The",GMB,1.752189366,1.531847693,,,1.073433667
Guinea-Bissau,GNB,2.038023257,1.637168369,,,
Equatorial Guinea,GNQ,0.775977689,,0.17916868,,
Greece,GRC,2.333584549,2.450942286,2.543063186,2.519121405,2.385281556
Guatemala,GTM,0.418365533,0.395900175,0.423139348,0.363192099,0.352941134
Guyana,GUY,1.276563434,1.458481351,1.505432012,1.679493495,1.693258646
High income,HIC,2.390785207,2.387882286,2.306002578,2.279091444,2.276866381
Honduras,HND,1.548644767,1.682138547,1.6802279,1.743808343,1.712589313
Heavily indebted poor countries (HIPC),HPC,1.338822338,1.475797431,1.538430468,1.670858093,1.268325467
Croatia,HRV,1.571746905,1.52172955,1.36022209,1.425587349,1.465054179
Haiti,HTI,0.000618763,0.000887538,0.000840816,0.00087532,0.000840337
Hungary,HUN,0.863635252,0.920159795,1.022709866,1.050167624,1.08207729
IBRD only,IBD,1.996538738,2.0111606,2.028769887,1.964169589,1.913333067
IDA & IBRD total,IBT,1.965372438,1.983893018,2.003577806,1.949552777,1.897582273
IDA total,IDA,1.506918324,1.607692609,1.647117769,1.736287367,1.670206065
IDA blend,IDB,1.363266678,1.471838229,1.670752259,1.782026006,1.944083081
Indonesia,IDN,0.777855178,0.886971133,0.790694801,0.804336713,0.716442833
IDA only,IDX,1.673596563,1.747430777,1.625329628,1.697735848,1.411673735
India,IND,2.496769881,2.40512747,2.506470751,2.509624558,2.419034342
Ireland,IRL,0.460334316,0.342520357,0.331469027,0.310631929,0.330585082
"Iran, Islamic Rep.",IRN,2.281078729,2.760311749,2.972793279,3.105184169,2.667512061
Iraq,IRQ,2.950613991,5.346600575,3.482177444,3.838661285,2.726527808
Israel,ISR,5.963010915,5.646343373,4.630697701,4.43256389,4.348101264
Italy,ITA,1.287382528,1.210619499,1.339605986,1.366528764,1.332702307
Jamaica,JAM,0.872889041,0.868420522,0.959172936,0.976691876,1.351956135
Jordan,JOR,4.32321001,4.304480412,4.574632228,4.841143745,4.682528726
Japan,JPN,0.966999334,0.958050431,0.939582603,0.930768157,0.923839536
Kazakhstan,KAZ,1.041692057,1.109721449,0.95884489,0.89409241,0.953875222
Kenya,KEN,1.332961154,1.323026832,1.323167696,1.287374271,1.220424986
Kyrgyz Republic,KGZ,1.713569023,1.752024087,1.765221057,1.668932805,1.573770166
Cambodia,KHM,1.663039466,1.794982279,1.898582977,2.084627563,2.206471374
"Korea, Rep.",KOR,2.660766488,2.644758513,2.607881295,2.568843535,2.617343637
