ID,country,continent,sub_region,
1,Aruba,Americas,Caribbean,
2,Afghanistan,Asia,Southern Asia,
3,Albania,Europe,Southern Europe,
4,Algeria,Africa,Northern Africa,
5,American Samoa,Oceania,Polynesia,
6,Andorra,Europe,Southern Europe,
7,Angola,Africa,Middle Africa,
8,Anguilla,Americas,Caribbean,
9,Antigua and Barbuda,Americas,Caribbean,
10,Argentina,Americas,South America,
11,Armenia,Asia,Western Asia,
12,Aruba,Americas,Caribbean,
13,Australia,Oceania,Australia and New Zealand,
14,Austria,Europe,Western Europe,
15,Azerbaijan,Asia,Western Asia,
16,Bahamas, The,Americas,Caribbean,
17,Bahrain,Asia,Western Asia,
18,Bangladesh,Asia,Southern Asia,
19,Barbados,Americas,Caribbean,
20,Belarus,Europe,Eastern Europe,
21,Belgium,Europe,Western Europe,
22,Belize,Americas,Central America,
23,Benin,Africa,Western Africa,
24,Bermuda,Americas,Northern America,
25,Bhutan,Asia,Southern Asia,
26,Bolivia,Americas,South America,
27,Bonaire, Sint Eustatius and Saba,Americas,Caribbean
28,Bosnia and Herzegovina,Europe,Southern Europe,
29,Botswana,Africa,Southern Africa,
30,Brazil,Americas,South America,
31,Brunei Darussalam,Asia,South-Eastern Asia,
32,Bulgaria,Europe,Eastern Europe,
33,Burkina Faso,Africa,Western Africa,
34,Burundi,Africa,Eastern Africa,
35,Cambodia,Asia,South-Eastern Asia,
36,Cameroon,Africa,Middle Africa,
37,Canada,Americas,Northern America,
38,Cabo Verde,Africa,Western Africa,
39,Cayman Islands,Americas,Caribbean,
40,Central African Republic,Africa,Middle Africa,
41,Chad,Africa,Middle Africa,
42,Chile,Americas,South America,
43,China,Asia,Eastern Asia,
44,Colombia,Americas,South America,
45,Comoros,Africa,Eastern Africa,
46,Congo,Africa,Middle Africa,
47,Congo (Democratic Republic of the),Africa,Middle Africa,
48,Cook Islands,Oceania,Polynesia,
49,Costa Rica,Americas,Central America,
50,Cote d'Ivoire,Africa,Western Africa,
51,Croatia,Europe,Southern Europe,
52,Cuba,Americas,Caribbean,
53,Cura�ao,Americas,Caribbean,
54,Cyprus,Asia,Western Asia,
55,Czech Republic,Europe,Eastern Europe,
56,Denmark,Europe,Northern Europe,
57,Djibouti,Africa,Eastern Africa,
58,Dominica,Americas,Caribbean,
59,Dominican Republic,Americas,Caribbean,
60,Ecuador,Americas,South America,
61,Egypt,Africa,Northern Africa,
62,El Salvador,Americas,Central America,
63,Equatorial Guinea,Africa,Middle Africa,
64,Eritrea,Africa,Eastern Africa,
65,Estonia,Europe,Northern Europe,
66,Ethiopia,Africa,Eastern Africa,
67,Falkland Islands (Malvinas),Americas,South America,
68,Faroe Islands,Europe,Northern Europe,
69,Fiji,Oceania,Melanesia,
70,Finland,Europe,Northern Europe,
71,France,Europe,Western Europe,
72,French Guiana,Americas,South America,
73,French Polynesia,Oceania,Polynesia,
74,Gabon,Africa,Middle Africa,
75,Gambia,Africa,Western Africa,
76,Georgia,Asia,Western Asia,
